symbol,method,implied_price,current_price,upside_downside_pct
BLK,DDM (Dividend-Based),333.84,1056.63,-68.4
BLK,Comps -- P/E,758.03,1056.63,-28.26
BLK,Comps -- EV/EBITDA,770.7,1056.63,-27.06
