Date,NVDA,AAPL,MSFT,TSLA,AMD,GOOGL,GLD,TLT,SPY
2023-08-01,49.259037017822266,185.5228271484375,320.8619384765625,258.0799865722656,105.72000122070312,134.97315979003906,180.02000427246094,85.52503967285156,433.8666076660156
2023-09-01,43.41799545288086,169.07095336914062,309.104736328125,250.22000122070312,102.81999969482422,129.7098388671875,171.4499969482422,78.72481536865234,413.2862854003906
2023-10-01,40.704063415527344,168.63648986816406,330.9940490722656,200.83999633789062,98.5,122.98943328857422,184.08999633789062,74.42396545410156,404.314453125
2023-11-01,46.68291473388672,187.82394409179688,371.68829345703125,240.0800018310547,121.16000366210938,131.36512756347656,188.75,81.80968475341797,441.2460632324219
2023-12-01,49.43413162231445,190.37506103515625,368.87298583984375,248.47999572753906,147.41000366210938,138.46221923828125,191.1699981689453,88.91548156738281,461.3913269042969
2024-01-01,61.41782760620117,182.3360595703125,390.0024108886719,187.2899932861328,167.69000244140625,138.86862182617188,188.4499969482422,86.91921997070312,468.7396545410156
2024-02-01,78.97162628173828,178.9549560546875,406.5067138671875,201.8800048828125,192.52999877929688,137.2430419921875,189.30999755859375,84.96162414550781,493.20172119140625
2024-03-01,90.19991302490234,169.77703857421875,413.4645690917969,175.7899932861328,180.49000549316406,149.60340881347656,205.72000122070312,85.62675476074219,509.3303527832031
2024-04-01,86.25275421142578,168.63848876953125,382.6159362792969,183.27999877929688,158.3800048828125,161.3492889404297,211.8699951171875,80.09916687011719,488.7943420410156
2024-05-01,109.44359588623047,190.5989532470703,408.7068786621094,178.0800018310547,166.89999389648438,170.98385620117188,215.3000030517578,82.4115982055664,513.5174560546875
2024-06-01,123.33672332763672,208.81117248535156,440.0345458984375,197.8800048828125,162.2100067138672,180.75624084472656,215.00999450683594,83.90913391113281,531.6343994140625
2024-07-01,116.82743835449219,220.17276000976562,411.8770751953125,232.07000732421875,144.47999572753906,170.22743225097656,226.5500030517578,86.95500183105469,538.0720825195312
2024-08-01,119.17357635498047,227.296142578125,411.4259948730469,214.11000061035156,148.55999755859375,162.1298828125,231.2899932861328,88.7907943725586,550.6443481445312
2024-09-01,121.25054931640625,231.266357421875,424.40570068359375,261.6300048828125,164.0800018310547,164.7993621826172,243.05999755859375,90.56613159179688,562.2103881835938
2024-10-01,132.55287170410156,224.22914123535156,400.7838134765625,249.85000610351562,144.07000732421875,170.0260467529297,253.50999450683594,85.62584686279297,557.1935424804688
2024-11-01,138.03433227539062,235.82330322265625,418.49542236328125,345.1600036621094,137.17999267578125,167.8797149658203,245.58999633789062,87.32744598388672,590.4209594726562
2024-12-01,134.0897216796875,248.8302001953125,416.55841064453125,403.8399963378906,120.79000091552734,188.31637573242188,242.1300048828125,81.75504302978516,576.2152709960938
