entity,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct
"Portfolio (8-asset, equal-weight)",31.96,22.4,1.219,-24.32
Benchmark (SPY),19.14,15.31,0.945,-18.76
